"Day","Animal","Group","TV"
21,"Therapy_Combo_AB_4","Therapy_Combo_AB",133.00312919911
24,"Therapy_Combo_AB_4","Therapy_Combo_AB",127.26209918258
0,"Therapy_Combo_AB_5","Therapy_Combo_AB",79.8424817941316
3,"Therapy_Combo_AB_5","Therapy_Combo_AB",129.230707587003
6,"Therapy_Combo_AB_5","Therapy_Combo_AB",95.2323015331669
9,"Therapy_Combo_AB_5","Therapy_Combo_AB",121.153172896252
12,"Therapy_Combo_AB_5","Therapy_Combo_AB",127.742311151291
15,"Therapy_Combo_AB_5","Therapy_Combo_AB",106.531931441233
18,"Therapy_Combo_AB_5","Therapy_Combo_AB",223.053672328377
21,"Therapy_Combo_AB_5","Therapy_Combo_AB",359.836361204732
24,"Therapy_Combo_AB_5","Therapy_Combo_AB",655.251548964528
0,"Therapy_Combo_AB_6","Therapy_Combo_AB",115.382326056353
3,"Therapy_Combo_AB_6","Therapy_Combo_AB",136.443144434381
6,"Therapy_Combo_AB_6","Therapy_Combo_AB",155.756701388046
9,"Therapy_Combo_AB_6","Therapy_Combo_AB",140.986401682062
12,"Therapy_Combo_AB_6","Therapy_Combo_AB",173.245626925436
15,"Therapy_Combo_AB_6","Therapy_Combo_AB",142.539971078389
18,"Therapy_Combo_AB_6","Therapy_Combo_AB",139.034083477096
21,"Therapy_Combo_AB_6","Therapy_Combo_AB",208.955202317847
24,"Therapy_Combo_AB_6","Therapy_Combo_AB",352.761654967151
0,"Therapy_Combo_AB_7","Therapy_Combo_AB",86.5250867009173
3,"Therapy_Combo_AB_7","Therapy_Combo_AB",117.186483621077
6,"Therapy_Combo_AB_7","Therapy_Combo_AB",167.520490970069
9,"Therapy_Combo_AB_7","Therapy_Combo_AB",238.602954408842
12,"Therapy_Combo_AB_7","Therapy_Combo_AB",275.075853498635
15,"Therapy_Combo_AB_7","Therapy_Combo_AB",248.197996811073
18,"Therapy_Combo_AB_7","Therapy_Combo_AB",223.191894455244
21,"Therapy_Combo_AB_7","Therapy_Combo_AB",247.127102309335
24,"Therapy_Combo_AB_7","Therapy_Combo_AB",377.024203285196
0,"Therapy_Combo_AB_8","Therapy_Combo_AB",85.916029581374
3,"Therapy_Combo_AB_8","Therapy_Combo_AB",111.2992627888
6,"Therapy_Combo_AB_8","Therapy_Combo_AB",138.154356258834
9,"Therapy_Combo_AB_8","Therapy_Combo_AB",143.340796666016
12,"Therapy_Combo_AB_8","Therapy_Combo_AB",139.960660433802
15,"Therapy_Combo_AB_8","Therapy_Combo_AB",136.038970851371
18,"Therapy_Combo_AB_8","Therapy_Combo_AB",156.533355319019
21,"Therapy_Combo_AB_8","Therapy_Combo_AB",174.712682388742
24,"Therapy_Combo_AB_8","Therapy_Combo_AB",235.023210746121
0,"Therapy_Combo_AB_9","Therapy_Combo_AB",97.2301094118106
3,"Therapy_Combo_AB_9","Therapy_Combo_AB",96.035215660451
6,"Therapy_Combo_AB_9","Therapy_Combo_AB",198.501452695819
9,"Therapy_Combo_AB_9","Therapy_Combo_AB",343.331156366744
12,"Therapy_Combo_AB_9","Therapy_Combo_AB",465.470489771342
15,"Therapy_Combo_AB_9","Therapy_Combo_AB",536.938740979062
18,"Therapy_Combo_AB_9","Therapy_Combo_AB",621.543439882062
21,"Therapy_Combo_AB_9","Therapy_Combo_AB",498.763267534221
24,"Therapy_Combo_AB_9","Therapy_Combo_AB",598.553414325094
0,"Therapy_Combo_AB_10","Therapy_Combo_AB",131.519701261358
3,"Therapy_Combo_AB_10","Therapy_Combo_AB",90.7458405182398
6,"Therapy_Combo_AB_10","Therapy_Combo_AB",134.476835673727
9,"Therapy_Combo_AB_10","Therapy_Combo_AB",135.815470803235
12,"Therapy_Combo_AB_10","Therapy_Combo_AB",148.661060403026
15,"Therapy_Combo_AB_10","Therapy_Combo_AB",140.33894089827
18,"Therapy_Combo_AB_10","Therapy_Combo_AB",232.594728590248
21,"Therapy_Combo_AB_10","Therapy_Combo_AB",267.634662953553
24,"Therapy_Combo_AB_10","Therapy_Combo_AB",367.337741670122
0,"Therapy_Combo_AB_11","Therapy_Combo_AB",90.1225447844834
3,"Therapy_Combo_AB_11","Therapy_Combo_AB",73.7928200895658
6,"Therapy_Combo_AB_11","Therapy_Combo_AB",65.1388922942112
9,"Therapy_Combo_AB_11","Therapy_Combo_AB",105.298073300352
12,"Therapy_Combo_AB_11","Therapy_Combo_AB",102.537803778565
15,"Therapy_Combo_AB_11","Therapy_Combo_AB",80.6010249647084
18,"Therapy_Combo_AB_11","Therapy_Combo_AB",84.0007476589846
21,"Therapy_Combo_AB_11","Therapy_Combo_AB",125.234005685341
24,"Therapy_Combo_AB_11","Therapy_Combo_AB",134.32874114128
0,"Therapy_Combo_AB_12","Therapy_Combo_AB",74.0845407417155
3,"Therapy_Combo_AB_12","Therapy_Combo_AB",86.6494705036848
6,"Therapy_Combo_AB_12","Therapy_Combo_AB",74.3499885087841
9,"Therapy_Combo_AB_12","Therapy_Combo_AB",114.527912041051
12,"Therapy_Combo_AB_12","Therapy_Combo_AB",117.832002549896
15,"Therapy_Combo_AB_12","Therapy_Combo_AB",132.685873971468
18,"Therapy_Combo_AB_12","Therapy_Combo_AB",208.419545606963
21,"Therapy_Combo_AB_12","Therapy_Combo_AB",419.535237695999
24,"Therapy_Combo_AB_12","Therapy_Combo_AB",300.644228735658
0,"Therapy_Combo_AB_13","Therapy_Combo_AB",103.251326560297
3,"Therapy_Combo_AB_13","Therapy_Combo_AB",106.688880220309
6,"Therapy_Combo_AB_13","Therapy_Combo_AB",88.3340366235172
9,"Therapy_Combo_AB_13","Therapy_Combo_AB",71.3560090087151
12,"Therapy_Combo_AB_13","Therapy_Combo_AB",111.486884069637
15,"Therapy_Combo_AB_13","Therapy_Combo_AB",114.391271633097
18,"Therapy_Combo_AB_13","Therapy_Combo_AB",157.173969570839
21,"Therapy_Combo_AB_13","Therapy_Combo_AB",298.652927105095
24,"Therapy_Combo_AB_13","Therapy_Combo_AB",295.724766106914
0,"Therapy_Combo_AB_14","Therapy_Combo_AB",114.12685691636
3,"Therapy_Combo_AB_14","Therapy_Combo_AB",78.1622856937551
6,"Therapy_Combo_AB_14","Therapy_Combo_AB",101.351241140283
9,"Therapy_Combo_AB_14","Therapy_Combo_AB",121.940508101991
12,"Therapy_Combo_AB_14","Therapy_Combo_AB",116.631653661223
15,"Therapy_Combo_AB_14","Therapy_Combo_AB",122.529624997902
18,"Therapy_Combo_AB_14","Therapy_Combo_AB",206.058192799671
21,"Therapy_Combo_AB_14","Therapy_Combo_AB",310.89035325803
24,"Therapy_Combo_AB_14","Therapy_Combo_AB",465.095749152688
0,"Therapy_Combo_AB_15","Therapy_Combo_AB",90.1461698854957
3,"Therapy_Combo_AB_15","Therapy_Combo_AB",105.494381804559
6,"Therapy_Combo_AB_15","Therapy_Combo_AB",125.412095193126
9,"Therapy_Combo_AB_15","Therapy_Combo_AB",142.898149415625
12,"Therapy_Combo_AB_15","Therapy_Combo_AB",223.927372162074
15,"Therapy_Combo_AB_15","Therapy_Combo_AB",353.061432436559
18,"Therapy_Combo_AB_15","Therapy_Combo_AB",385.612340314067
21,"Therapy_Combo_AB_15","Therapy_Combo_AB",533.336876074963
24,"Therapy_Combo_AB_15","Therapy_Combo_AB",708.99487001737
0,"Therapy_Combo_AB_16","Therapy_Combo_AB",102.722940758642
3,"Therapy_Combo_AB_16","Therapy_Combo_AB",106.689253919185
6,"Therapy_Combo_AB_16","Therapy_Combo_AB",106.661285692454
9,"Therapy_Combo_AB_16","Therapy_Combo_AB",144.187153678019
12,"Therapy_Combo_AB_16","Therapy_Combo_AB",258.125620622729
15,"Therapy_Combo_AB_16","Therapy_Combo_AB",214.169758852387
18,"Therapy_Combo_AB_16","Therapy_Combo_AB",425.382132020113
21,"Therapy_Combo_AB_16","Therapy_Combo_AB",648.284012267468
24,"Therapy_Combo_AB_16","Therapy_Combo_AB",520.083467425658
0,"Therapy_Combo_AB_17","Therapy_Combo_AB",103.605988824978
3,"Therapy_Combo_AB_17","Therapy_Combo_AB",107.135816167028
6,"Therapy_Combo_AB_17","Therapy_Combo_AB",78.1223171489007
9,"Therapy_Combo_AB_17","Therapy_Combo_AB",99.5574585420126
12,"Therapy_Combo_AB_17","Therapy_Combo_AB",198.152202829487
15,"Therapy_Combo_AB_17","Therapy_Combo_AB",197.974078160665
18,"Therapy_Combo_AB_17","Therapy_Combo_AB",249.117556107679
21,"Therapy_Combo_AB_17","Therapy_Combo_AB",323.748833677063
24,"Therapy_Combo_AB_17","Therapy_Combo_AB",410.273188596898
0,"Therapy_Combo_AB_18","Therapy_Combo_AB",88.8784669119034
3,"Therapy_Combo_AB_18","Therapy_Combo_AB",61.0756940549692
6,"Therapy_Combo_AB_18","Therapy_Combo_AB",29.940792085343
9,"Therapy_Combo_AB_18","Therapy_Combo_AB",44.0586205136201
12,"Therapy_Combo_AB_18","Therapy_Combo_AB",45.8770087733307
15,"Therapy_Combo_AB_18","Therapy_Combo_AB",71.0213725584338
18,"Therapy_Combo_AB_18","Therapy_Combo_AB",71.7858895758385
21,"Therapy_Combo_AB_18","Therapy_Combo_AB",127.380959548465
24,"Therapy_Combo_AB_18","Therapy_Combo_AB",196.921636893666
0,"Therapy_Combo_AB_19","Therapy_Combo_AB",79.3074099197905
3,"Therapy_Combo_AB_19","Therapy_Combo_AB",81.1799013859165
6,"Therapy_Combo_AB_19","Therapy_Combo_AB",77.6726053343372
9,"Therapy_Combo_AB_19","Therapy_Combo_AB",110.38303670951
12,"Therapy_Combo_AB_19","Therapy_Combo_AB",130.941853059606
15,"Therapy_Combo_AB_19","Therapy_Combo_AB",120.321707849215
18,"Therapy_Combo_AB_19","Therapy_Combo_AB",227.223013487203
21,"Therapy_Combo_AB_19","Therapy_Combo_AB",209.577941766615
24,"Therapy_Combo_AB_19","Therapy_Combo_AB",204.061848968795
0,"Therapy_Combo_AB_20","Therapy_Combo_AB",81.4793050148675
3,"Therapy_Combo_AB_20","Therapy_Combo_AB",76.323460169829
6,"Therapy_Combo_AB_20","Therapy_Combo_AB",62.1067356641001
9,"Therapy_Combo_AB_20","Therapy_Combo_AB",89.3739094846659
12,"Therapy_Combo_AB_20","Therapy_Combo_AB",100.9953541803
15,"Therapy_Combo_AB_20","Therapy_Combo_AB",95.5535377982389
18,"Therapy_Combo_AB_20","Therapy_Combo_AB",141.182176576364
21,"Therapy_Combo_AB_20","Therapy_Combo_AB",158.472381575717
24,"Therapy_Combo_AB_20","Therapy_Combo_AB",269.655435450935
